hours,dratio1,dratio2,dratio3,dratio4,dratio5,dratio6,dratio7,dratio8,dratio9,dratio10,dratio11,dratio12,dratio13,dratio14,dratio15,dratio16,dratio17,dratio18,dratio19,dratio20
10.0,0.094172682196902,0.08425958862818561,0.07434684860380969,0.06443386243316951,0.054521126450094215,0.04460821807796478,0.03469527296003605,0.02478235234646675,0.014869406091516879,0.004956465484319494,-0.004956465484319494,-0.014869406091516879,-0.02478235234646675,-0.03469527296003605,-0.04460821807796478,-0.054521126450094215,-0.06443386243317129,-0.07434684860380969,-0.08425958862818383,-0.094172682196902
11.0,0.16914339554638147,0.15133815339045853,0.13353369606722865,0.11572979444244424,0.09792508482706452,0.08012061123440972,0.062316013853838115,0.044511575639550216,0.02670695774817844,0.008902308282504379,-0.008902308282504379,-0.02670695774817844,-0.044511575639550216,-0.062316013853838115,-0.08012061123440972,-0.09792508482706452,-0.11572979444244247,-0.13353369606723042,-0.15133815339045675,-0.1691433955463797
12.0,0.23252387740281577,0.20804761553450035,0.18357155971917294,0.15909559653629302,0.13461896594013822,0.1101431883863313,0.08566687342448276,0.06119072486326971,0.036714464916808964,0.012238168641523828,-0.012238168641523828,-0.036714464916808964,-0.06119072486326971,-0.08566687342448098,-0.1101431883863313,-0.13461896594013645,-0.1590955965362948,-0.18357155971917116,-0.20804761553450213,-0.23252387740281577
13.0,0.27997118574020874,0.25050206106561035,0.22103063000549739,0.19156032539029155,0.1620893833131305,0.13261824460965954,0.10314781915241866,0.0736770462638745,0.04420649217308892,0.014735459951566554,-0.014735459951566554,-0.04420649217308892,-0.0736770462638745,-0.10314781915241689,-0.13261824460965954,-0.1620893833131305,-0.19156032539029155,-0.22103063000549739,-0.25050206106561035,-0.27997118574020874
14.0,0.3082364967908191,0.2757910897646987,0.24334565651792062,0.21089927087863458,0.1784525793173266,0.14600651880735427,0.1135610068432733,0.08111525812967102,0.04866927963776391,0.016223060999532635,-0.016223060999532635,-0.04866927963776391,-0.08111525812967102,-0.1135610068432733,-0.1460065188073525,-0.17845257931732483,-0.21089927087863636,-0.2433456565179224,-0.2757910897646969,-0.3082364967908173
15.0,0.31538038624288944,0.282184204786887,0.24898491028316272,0.21578674239497175,0.18258916256010949,0.14939076151942743,0.11619311283208233,0.08299518189279453,0.04979732078866661,0.016599105052879537,-0.016599105052879537,-0.04979732078866661,-0.08299518189279276,-0.11619311283208411,-0.14939076151942743,-0.18258916256011126,-0.21578674239497175,-0.24898491028316272,-0.2821842047868852,-0.3153803862428912
16.0,0.3009155182362413,0.26924098756114745,0.2375656419114236,0.20588957857725987,0.17421393373793137,0.14253846081982857,0.11086385705176838,0.07918848035013326,0.04751331209246956,0.015837749268815315,-0.015837749268815315,-0.04751331209246956,-0.07918848035013326,-0.11086385705177015,-0.1425384608198268,-0.1742139337379296,-0.20588957857726164,-0.23756564191142182,-0.2692409875611457,-0.3009155182362413
17.0,0.26583204489789836,0.23784869761258065,0.20986647885165866,0.1818848984420498,0.15390179378725932,0.12592000021573213,0.0979380845827329,0.06995583725319676,0.041973537159343266,0.013991181614859016,-0.013991181614859016,-0.041973537159343266,-0.06995583725319676,-0.0979380845827329,-0.12592000021573213,-0.15390179378725755,-0.1818848984420498,-0.20986647885165688,-0.23784869761257887,-0.26583204489790013
18.0,0.21253237305296224,0.19016039567171106,0.16778873472043898,0.14541645871887354,0.12304480721770261,0.10067332194106626,0.07830151543105401,0.05592984100148968,0.03355790955968274,0.011185950448545867,-0.011185950448545867,-0.03355790955968274,-0.05592984100148968,-0.07830151543105579,-0.10067332194106804,-0.12304480721770439,-0.14541645871887354,-0.16778873472044076,-0.19016039567171106,-0.21253237305296047
19.0,0.1446700297005492,0.12944146392949563,0.11421346476066319,0.09898498266310796,0.08375651786009897,0.06852823812520015,0.053299804843998544,0.03807126473894584,0.022842835950122264,0.007614258794330198,-0.007614258794330198,-0.022842835950122264,-0.03807126473894584,-0.053299804843998544,-0.06852823812519837,-0.08375651786009719,-0.09898498266310796,-0.11421346476066319,-0.12944146392949563,-0.1446700297005492
